[(x1, 0, 0, 0), (x2, 0.9900000000000001, 4.719495680106207e-32, 2.229238104027281e-33), (x3, 0.9900000000000001, 1.9710717209999927e-31, 7.825322303759661e-33), (x4, 0.93, 1.440176868034837e-31, 5.204596316171868e-33), (x5, 1.0, 2.231169422563962e-32, 2.89003314690488e-34), (x6, 1.0, 1.9472283159916683e-32, 1.6021025665829696e-33), (x7, 0.9500000000000001, 1.066746995757592e-31, 1.052608048057529e-32), (x8, 0.9400000000000001, 3.453705038752253e-32, 2.7301387697753746e-33), (x9, 0.9900000000000001, 1.1275100396033582e-31, 6.839040705678221e-33), (x10, 0.9800000000000001, 4.014384973786306e-32, 3.107143460246317e-33), (x11, 0.9600000000000001, 1.2131461206136233e-31, 3.3854540818692435e-33), (x12, 0, 0, 0), (x13, 0.9700000000000001, 3.638814252612326e-32, 1.3791957493271664e-33), (x14, 0.9600000000000001, 7.585244339285416e-32, 6.4526814385572e-33), (x15, 0, 0, 0), (x16, 0.9600000000000001, 1.7899745310039024e-32, 4.157125245274665e-34), (x17, 0.9600000000000001, 2.661785895244934e-32, 3.980182811420558e-34), (x18, 0, 0, 0), (x19, 0.92, 7.652647993851289e-32, 1.0467761432873063e-33), (x20, 0, 0, 0), (x21, 0.9800000000000001, 1.6872394379803767e-31, 7.051401843533956e-33), (x22, 0.91, 2.1735644923643977e-32, 1.979627238075701e-33), (x23, 0, 0, 0), (x24, 0, 0, 0), (x25, 0.9900000000000001, 7.036164040654492e-32, 6.45159931921112e-33), (x26, 0.91, 1.0489101368494517e-31, 1.351576066395757e-33), (x27, 1.0, 1.4174023516935832e-31, 2.3689823668158695e-33), (x28, 1.0, 3.0283198771492786e-31, 1.762043024324465e-32), (x29, 0.9600000000000001, 4.2558607375648163e-32, 3.7294245616041445e-33), (x30, 0, 0, 0), (x31, 0.93, 2.0753661886425443e-32, 6.810487942988988e-34), (x32, 0.91, 6.137596207831977e-32, 3.6223715786834994e-33), (x33, 0, 0, 0), (x34, 1.0, 6.339069679529364e-32, 4.799456370219528e-33), (x35, 0.92, 2.7815220080674e-32, 1.9629789226450874e-33), (x36, 0.9400000000000001, 1.0068187996496762e-31, 5.2971760602794994e-33), (x37, 0.9700000000000001, 4.28088796540476e-32, 2.337645605604728e-33), (x38, 0.9400000000000001, 4.5713764751421857e-32, 3.817179048266771e-33), (x39, 0, 0, 0), (x40, 0.91, 3.6068464126408756e-31, 3.0999764736047315e-32), (x41, 0.92, 9.96010977855833e-33, 9.604114988868733e-34), (x42, 0.91, 2.6046431537102975e-32, 1.2076041327234588e-33), (x43, 0.9600000000000001, 1.5320304865180169e-31, 1.3303728588290224e-32), (x44, 0.9900000000000001, 4.4361032091394195e-32, 1.641513257853754e-33), (x45, 0, 0, 0), (x46, 0.9400000000000001, 4.131457819910521e-18, 1.2364903510251426e-32), (x47, 0.9400000000000001, 1.1335798842062898e-31, 1.0288360545358164e-32), (x48, 0, 0, 0), (x49, 0.9800000000000001, 5.29806474595021e-32, 3.066154755535815e-33), (x50, 0.9900000000000001, 2.8731104046159807e-32, 1.0380527250425983e-33), (x51, 0, 0, 0), (x52, 0.9900000000000001, 2.2632827330173614e-31, 1.7814248521672038e-33), (x53, 0, 0, 0), (x54, 0, 0, 0), (x55, 0.9500000000000001, 7.727518953318715e-32, 1.5886591816821075e-33), (x56, 1.0, 2.431588564707405e-31, 1.4886796485252804e-32), (x57, 0.9600000000000001, 3.374027589003964e-32, 1.5804905529437365e-33), (x58, 0.9400000000000001, 6.201816814898336e-32, 1.200479851461757e-33), (x59, 1.0, 9.774805592698839e-32, 7.11465783825997e-33), (x60, 0.9900000000000001, 3.198739186966885e-32, 2.4818694524236637e-33), (x61, 0.9900000000000001, 1.8726939253681242e-32, 1.3923041881400352e-33), (x62, 0, 0, 0), (x63, 0.9900000000000001, 2.6369618170308246e-31, 1.38596243972371e-32), (x64, 0.9600000000000001, 3.9201779299989966e-32, 3.71579338255966e-33), (x65, 0.9600000000000001, 2.0905263888539124e-32, 2.394025932869222e-34), (x66, 0.9500000000000001, 6.994542120579542e-32, 4.9176620843589786e-33), (x67, 0.9400000000000001, 9.985609709079314e-33, 6.972904378565883e-34), (x68, 0, 0, 0), (x69, 0, 0, 0), (x70, 0, 0, 0), (x71, 0, 0, 0), (x72, 0.9600000000000001, 8.073769992976239e-32, 5.562353908267299e-33), (x73, 0, 0, 0), (x74, 0.9400000000000001, 3.488941094827966e-32, 1.0663008395656703e-33), (x75, 0.9700000000000001, 5.21861512714938e-32, 8.511125428135508e-34), (x76, 0.9400000000000001, 1.5090307296877935e-31, 8.300353343519243e-33), (x77, 0, 0, 0), (x78, 0.9900000000000001, 1.412986268391876e-31, 5.2820797961994376e-33), (x79, 0.9600000000000001, 5.156833460544936e-33, 4.918696881935722e-34), (x80, 0, 0, 0), (x81, 0, 0, 0), (x82, 0, 0, 0), (x83, 0, 0, 0), (x84, 0, 0, 0), (x85, 0.93, 3.954842513089969e-32, 8.689079549070613e-34), (x86, 0.9600000000000001, 3.531842127189002e-32, 1.6062895868642842e-33), (x87, 0.9600000000000001, 3.531842127189002e-32, 1.6062895868642842e-33), (x88, 0.91, 6.328858869252402e-32, 4.439019747231139e-33), (x89, 0.92, 4.9164977058783885e-32, 3.609333838212439e-33), (x90, 0.92, 4.9164977058783885e-32, 3.609333838212439e-33), (x91, 0.9700000000000001, 1.0247318783905623e-31, 6.81503467205129e-33), (x92, 0.9700000000000001, 1.0247318783905623e-31, 6.81503467205129e-33), (x93, 1.0, 1.3150529314728788e-32, 1.0585899819073292e-33), (x94, 1.0, 1.3150529314728788e-32, 1.0585899819073292e-33), (x95, 0.9800000000000001, 1.8785748506133827e-32, 2.841893295559368e-34), (x96, 0, 0, 0), (x97, 0.9700000000000001, 3.112559553154811e-32, 2.321691239547597e-33), (x98, 0.9700000000000001, 7.85448535629243e-32, 6.979116176551968e-34), (x99, 0.9700000000000001, 2.490081017758639e-32, 1.800485079951291e-33), (x100, 0.93, 4.889992317988552e-32, 3.677986883921386e-33), (x101, 0.9900000000000001, 6.275956375332417e-32, 2.109706692297838e-33), (x102, 0.9600000000000001, 6.326602760371008e-32, 6.322183523698982e-34), (x103, 0, 0, 0), (x104, 0, 0, 0), (x105, 0, 0, 0), (x106, 0.9400000000000001, 1.2193507854451623e-31, 1.68896162781063e-33), (x107, 0, 0, 0), (x108, 0, 0, 0), (x109, 0, 0, 0), (x110, 0, 0, 0), (x111, 0, 0, 0), (x112, 0.91, 3.180566185357033e-32, 7.799849332671288e-34), (x113, 0.92, 4.434040457803691e-32, 2.620276407192689e-33), (x114, 0, 0, 0), (x115, 0.9900000000000001, 7.212443323750321e-32, 1.557429289196286e-33), (x116, 0.9500000000000001, 2.9455338585171973e-32, 2.173488483979416e-33), (x117, 0, 0, 0), (x118, 0.92, 1.007739463419326e-31, 6.273305669399767e-33), (x119, 0.92, 3.224239242604005e-32, 2.433133700790449e-33), (x120, 0, 0, 0), (x121, 0, 0, 0), (x122, 0, 0, 0), (x123, 0.92, 2.037385453425787e-32, 4.487563678747582e-34), (x124, 0, 0, 0), (x125, 1.0, 2.383566709328288e-32, 5.586577418186841e-34), (x126, 0, 0, 0), (x127, 0.9400000000000001, 3.703935158593558e-32, 2.5757759782800655e-33), (x128, 0, 0, 0), (x129, 0.92, 5.655816624000839e-32, 2.3745413121421805e-33), (x130, 0, 0, 0), (x131, 0, 0, 0), (x132, 0, 0, 0), (x133, 0.9500000000000001, 1.9885290484475746e-31, 1.5146533873106836e-32), (x134, 0, 0, 0), (x135, 0, 0, 0), (x136, 0, 0, 0), (x137, 0.92, 5.381666713851544e-32, 1.958344470032404e-33), (x138, 0.9700000000000001, 1.1120216788335695e-31, 8.405354243636926e-34), (x139, 0.9400000000000001, 1.5540896703894568e-32, 3.2506302283904644e-34), (x140, 0, 0, 0), (x141, 0.9900000000000001, 4.9197522882862865e-32, 3.7961139587300865e-33), (x142, 0.93, 5.672290556430786e-32, 1.3913017005784979e-33), (x143, 0, 0, 0), (x144, 0, 0, 0), (x145, 0.9600000000000001, 2.2879712225750456e-32, 2.1964092517300805e-33), (x146, 0.9500000000000001, 8.055985796941686e-32, 1.2511169863557652e-33), (x147, 0.9400000000000001, 6.941735685365964e-32, 4.872045895823957e-33), (x148, 0, 0, 0), (x149, 1.0, 2.8145828654351165e-32, 3.84694149518847e-34), (x150, 0.9900000000000001, 5.938893901589712e-32, 1.0955987163030452e-33), (x151, 0, 0, 0), (x152, 0.91, 1.3445664767281126e-33, 1.0671998531949236e-34), (x153, 0.9700000000000001, 4.379154475461516e-32, 4.031814402310543e-33), (x154, 0.93, 3.494167090115722e-32, 3.436421348872011e-33), (x155, 0, 0, 0), (x156, 0, 0, 0), (x157, 0, 0, 0), (x158, 0.92, 1.5643452244759748e-32, 1.3239459592583846e-33), (x159, 0.9700000000000001, 3.297040755177806e-32, 7.206963785868974e-34), (x160, 0, 0, 0), (x161, 0.9800000000000001, 1.5455502431641312e-31, 4.283284905183276e-33), (x162, 0, 0, 0), (x163, 0.9600000000000001, 6.567269430696576e-32, 4.61974194028582e-33), (x164, 0, 0, 0), (x165, 0.9600000000000001, 4.423450194747372e-32, 4.116855944375894e-33), (x166, 0.9900000000000001, 1.6423831514782156e-32, 1.3943237539115372e-33), (x167, 0.9700000000000001, 1.2312733766322253e-32, 6.960046318831855e-34), (x168, 0.93, 1.945584749104189e-32, 6.895004921576891e-34), (x169, 0.91, 7.726782509303279e-32, 5.225558680295729e-33), (x170, 0, 0, 0), (x171, 0.9800000000000001, 4.410902785140693e-31, 1.4414001498842824e-32), (x172, 0.9800000000000001, 3.750165500022808e-32, 1.53711294552127e-33), (x173, 0.9900000000000001, 6.010190851943979e-32, 1.1665199700113625e-33), (x174, 0.91, 1.297066969091918e-32, 1.2873668956088898e-33), (x175, 0, 0, 0), (x176, 0, 0, 0), (x177, 0, 0, 0), (x178, 0, 0, 0), (x179, 0.9800000000000001, 4.876059755603839e-32, 3.2195544696617743e-34), (x180, 0, 0, 0), (x181, 0.9500000000000001, 1.2249933642898353e-31, 1.1650898501205087e-32), (x182, 0, 0, 0), (x183, 0.9700000000000001, 5.9346526852415e-32, 2.8341178481782988e-33), (x184, 0.9900000000000001, 1.7331846797912256e-31, 8.76137690074639e-33), (x185, 0.9400000000000001, 1.2618598409731165e-31, 7.126844281734487e-33), (x186, 0.9600000000000001, 6.643182949518782e-32, 6.45798375923341e-33), (x187, 0, 0, 0), (x188, 0.93, 3.9379661767046324e-32, 2.9688953949096397e-33), (x189, 0.9600000000000001, 6.294156488300013e-32, 4.7987220251405185e-33), (x190, 0.9700000000000001, 7.2075072781797e-17, 1.4820462608702286e-32), (x191, 0, 0, 0), (x192, 0.9900000000000001, 7.717414975084799e-32, 6.53274656583981e-33), (x193, 0.9700000000000001, 1.8192391680772036e-31, 3.745650832194776e-33), (x194, 0.9800000000000001, 2.6003543331610773e-31, 2.207565643163308e-32), (x195, 0, 0, 0), (x196, 0.9500000000000001, 4.4636870427182577e-32, 2.9880231260077117e-33), (x197, 0, 0, 0), (x198, 0.93, 8.100421199813619e-32, 7.436074384241395e-33), (x199, 0.9700000000000001, 6.1264144406135336e-33, 3.5141027877810395e-35), (x200, 0.9800000000000001, 4.3837408896668123e-32, 1.665813082614935e-33), (x201, 1.0, 8.312122400256093e-32, 5.688639876480417e-33), (x202, 0.9800000000000001, 2.368809267159679e-31, 8.851993867727205e-33), (x203, 0.93, 1.4679067405315355e-32, 6.575654670395237e-34), (x204, 0.92, 4.405276317070566e-32, 3.962523278160433e-33), (x205, 0.9700000000000001, 1.2738176303937898e-31, 8.388966291912923e-33), (x206, 0.91, 3.181828526382138e-32, 8.286561117575738e-34), (x207, 0.9600000000000001, 4.131250725404771e-32, 2.896292978869149e-33), (x208, 0, 0, 0), (x209, 1.0, 3.032375496684575e-32, 2.9324376619508626e-33), (x210, 0, 0, 0), (x211, 1.0, 7.604382089814825e-32, 3.12140351357452e-33), (x212, 0, 0, 0), (x213, 0.9700000000000001, 1.9736794713280424e-32, 1.6533827384052484e-33), (x214, 0, 0, 0)]
(x1, 0, 0, 0)
(x2, 0.9900000000000001, 4.719495680106207e-32, 2.229238104027281e-33)
(x3, 0.9900000000000001, 1.9710717209999927e-31, 7.825322303759661e-33)
(x4, 0.93, 1.440176868034837e-31, 5.204596316171868e-33)
(x5, 1.0, 2.231169422563962e-32, 2.89003314690488e-34)
(x6, 1.0, 1.9472283159916683e-32, 1.6021025665829696e-33)
(x7, 0.9500000000000001, 1.066746995757592e-31, 1.052608048057529e-32)
(x8, 0.9400000000000001, 3.453705038752253e-32, 2.7301387697753746e-33)
(x9, 0.9900000000000001, 1.1275100396033582e-31, 6.839040705678221e-33)
(x10, 0.9800000000000001, 4.014384973786306e-32, 3.107143460246317e-33)
(x11, 0.9600000000000001, 1.2131461206136233e-31, 3.3854540818692435e-33)
(x12, 0, 0, 0)
(x13, 0.9700000000000001, 3.638814252612326e-32, 1.3791957493271664e-33)
(x14, 0.9600000000000001, 7.585244339285416e-32, 6.4526814385572e-33)
(x15, 0, 0, 0)
(x16, 0.9600000000000001, 1.7899745310039024e-32, 4.157125245274665e-34)
(x17, 0.9600000000000001, 2.661785895244934e-32, 3.980182811420558e-34)
(x18, 0, 0, 0)
(x19, 0.92, 7.652647993851289e-32, 1.0467761432873063e-33)
(x20, 0, 0, 0)
(x21, 0.9800000000000001, 1.6872394379803767e-31, 7.051401843533956e-33)
(x22, 0.91, 2.1735644923643977e-32, 1.979627238075701e-33)
(x23, 0, 0, 0)
(x24, 0, 0, 0)
(x25, 0.9900000000000001, 7.036164040654492e-32, 6.45159931921112e-33)
(x26, 0.91, 1.0489101368494517e-31, 1.351576066395757e-33)
(x27, 1.0, 1.4174023516935832e-31, 2.3689823668158695e-33)
(x28, 1.0, 3.0283198771492786e-31, 1.762043024324465e-32)
(x29, 0.9600000000000001, 4.2558607375648163e-32, 3.7294245616041445e-33)
(x30, 0, 0, 0)
(x31, 0.93, 2.0753661886425443e-32, 6.810487942988988e-34)
(x32, 0.91, 6.137596207831977e-32, 3.6223715786834994e-33)
(x33, 0, 0, 0)
(x34, 1.0, 6.339069679529364e-32, 4.799456370219528e-33)
(x35, 0.92, 2.7815220080674e-32, 1.9629789226450874e-33)
(x36, 0.9400000000000001, 1.0068187996496762e-31, 5.2971760602794994e-33)
(x37, 0.9700000000000001, 4.28088796540476e-32, 2.337645605604728e-33)
(x38, 0.9400000000000001, 4.5713764751421857e-32, 3.817179048266771e-33)
(x39, 0, 0, 0)
(x40, 0.91, 3.6068464126408756e-31, 3.0999764736047315e-32)
(x41, 0.92, 9.96010977855833e-33, 9.604114988868733e-34)
(x42, 0.91, 2.6046431537102975e-32, 1.2076041327234588e-33)
(x43, 0.9600000000000001, 1.5320304865180169e-31, 1.3303728588290224e-32)
(x44, 0.9900000000000001, 4.4361032091394195e-32, 1.641513257853754e-33)
(x45, 0, 0, 0)
(x46, 0.9400000000000001, 4.131457819910521e-18, 1.2364903510251426e-32)
(x47, 0.9400000000000001, 1.1335798842062898e-31, 1.0288360545358164e-32)
(x48, 0, 0, 0)
(x49, 0.9800000000000001, 5.29806474595021e-32, 3.066154755535815e-33)
(x50, 0.9900000000000001, 2.8731104046159807e-32, 1.0380527250425983e-33)
(x51, 0, 0, 0)
(x52, 0.9900000000000001, 2.2632827330173614e-31, 1.7814248521672038e-33)
(x53, 0, 0, 0)
(x54, 0, 0, 0)
(x55, 0.9500000000000001, 7.727518953318715e-32, 1.5886591816821075e-33)
(x56, 1.0, 2.431588564707405e-31, 1.4886796485252804e-32)
(x57, 0.9600000000000001, 3.374027589003964e-32, 1.5804905529437365e-33)
(x58, 0.9400000000000001, 6.201816814898336e-32, 1.200479851461757e-33)
(x59, 1.0, 9.774805592698839e-32, 7.11465783825997e-33)
(x60, 0.9900000000000001, 3.198739186966885e-32, 2.4818694524236637e-33)
(x61, 0.9900000000000001, 1.8726939253681242e-32, 1.3923041881400352e-33)
(x62, 0, 0, 0)
(x63, 0.9900000000000001, 2.6369618170308246e-31, 1.38596243972371e-32)
(x64, 0.9600000000000001, 3.9201779299989966e-32, 3.71579338255966e-33)
(x65, 0.9600000000000001, 2.0905263888539124e-32, 2.394025932869222e-34)
(x66, 0.9500000000000001, 6.994542120579542e-32, 4.9176620843589786e-33)
(x67, 0.9400000000000001, 9.985609709079314e-33, 6.972904378565883e-34)
(x68, 0, 0, 0)
(x69, 0, 0, 0)
(x70, 0, 0, 0)
(x71, 0, 0, 0)
(x72, 0.9600000000000001, 8.073769992976239e-32, 5.562353908267299e-33)
(x73, 0, 0, 0)
(x74, 0.9400000000000001, 3.488941094827966e-32, 1.0663008395656703e-33)
(x75, 0.9700000000000001, 5.21861512714938e-32, 8.511125428135508e-34)
(x76, 0.9400000000000001, 1.5090307296877935e-31, 8.300353343519243e-33)
(x77, 0, 0, 0)
(x78, 0.9900000000000001, 1.412986268391876e-31, 5.2820797961994376e-33)
(x79, 0.9600000000000001, 5.156833460544936e-33, 4.918696881935722e-34)
(x80, 0, 0, 0)
(x81, 0, 0, 0)
(x82, 0, 0, 0)
(x83, 0, 0, 0)
(x84, 0, 0, 0)
(x85, 0.93, 3.954842513089969e-32, 8.689079549070613e-34)
(x86, 0.9600000000000001, 3.531842127189002e-32, 1.6062895868642842e-33)
(x87, 0.9600000000000001, 3.531842127189002e-32, 1.6062895868642842e-33)
(x88, 0.91, 6.328858869252402e-32, 4.439019747231139e-33)
(x89, 0.92, 4.9164977058783885e-32, 3.609333838212439e-33)
(x90, 0.92, 4.9164977058783885e-32, 3.609333838212439e-33)
(x91, 0.9700000000000001, 1.0247318783905623e-31, 6.81503467205129e-33)
(x92, 0.9700000000000001, 1.0247318783905623e-31, 6.81503467205129e-33)
(x93, 1.0, 1.3150529314728788e-32, 1.0585899819073292e-33)
(x94, 1.0, 1.3150529314728788e-32, 1.0585899819073292e-33)
(x95, 0.9800000000000001, 1.8785748506133827e-32, 2.841893295559368e-34)
(x96, 0, 0, 0)
(x97, 0.9700000000000001, 3.112559553154811e-32, 2.321691239547597e-33)
(x98, 0.9700000000000001, 7.85448535629243e-32, 6.979116176551968e-34)
(x99, 0.9700000000000001, 2.490081017758639e-32, 1.800485079951291e-33)
(x100, 0.93, 4.889992317988552e-32, 3.677986883921386e-33)
(x101, 0.9900000000000001, 6.275956375332417e-32, 2.109706692297838e-33)
(x102, 0.9600000000000001, 6.326602760371008e-32, 6.322183523698982e-34)
(x103, 0, 0, 0)
(x104, 0, 0, 0)
(x105, 0, 0, 0)
(x106, 0.9400000000000001, 1.2193507854451623e-31, 1.68896162781063e-33)
(x107, 0, 0, 0)
(x108, 0, 0, 0)
(x109, 0, 0, 0)
(x110, 0, 0, 0)
(x111, 0, 0, 0)
(x112, 0.91, 3.180566185357033e-32, 7.799849332671288e-34)
(x113, 0.92, 4.434040457803691e-32, 2.620276407192689e-33)
(x114, 0, 0, 0)
(x115, 0.9900000000000001, 7.212443323750321e-32, 1.557429289196286e-33)
(x116, 0.9500000000000001, 2.9455338585171973e-32, 2.173488483979416e-33)
(x117, 0, 0, 0)
(x118, 0.92, 1.007739463419326e-31, 6.273305669399767e-33)
(x119, 0.92, 3.224239242604005e-32, 2.433133700790449e-33)
(x120, 0, 0, 0)
(x121, 0, 0, 0)
(x122, 0, 0, 0)
(x123, 0.92, 2.037385453425787e-32, 4.487563678747582e-34)
(x124, 0, 0, 0)
(x125, 1.0, 2.383566709328288e-32, 5.586577418186841e-34)
(x126, 0, 0, 0)
(x127, 0.9400000000000001, 3.703935158593558e-32, 2.5757759782800655e-33)
(x128, 0, 0, 0)
(x129, 0.92, 5.655816624000839e-32, 2.3745413121421805e-33)
(x130, 0, 0, 0)
(x131, 0, 0, 0)
(x132, 0, 0, 0)
(x133, 0.9500000000000001, 1.9885290484475746e-31, 1.5146533873106836e-32)
(x134, 0, 0, 0)
(x135, 0, 0, 0)
(x136, 0, 0, 0)
(x137, 0.92, 5.381666713851544e-32, 1.958344470032404e-33)
(x138, 0.9700000000000001, 1.1120216788335695e-31, 8.405354243636926e-34)
(x139, 0.9400000000000001, 1.5540896703894568e-32, 3.2506302283904644e-34)
(x140, 0, 0, 0)
(x141, 0.9900000000000001, 4.9197522882862865e-32, 3.7961139587300865e-33)
(x142, 0.93, 5.672290556430786e-32, 1.3913017005784979e-33)
(x143, 0, 0, 0)
(x144, 0, 0, 0)
(x145, 0.9600000000000001, 2.2879712225750456e-32, 2.1964092517300805e-33)
(x146, 0.9500000000000001, 8.055985796941686e-32, 1.2511169863557652e-33)
(x147, 0.9400000000000001, 6.941735685365964e-32, 4.872045895823957e-33)
(x148, 0, 0, 0)
(x149, 1.0, 2.8145828654351165e-32, 3.84694149518847e-34)
(x150, 0.9900000000000001, 5.938893901589712e-32, 1.0955987163030452e-33)
(x151, 0, 0, 0)
(x152, 0.91, 1.3445664767281126e-33, 1.0671998531949236e-34)
(x153, 0.9700000000000001, 4.379154475461516e-32, 4.031814402310543e-33)
(x154, 0.93, 3.494167090115722e-32, 3.436421348872011e-33)
(x155, 0, 0, 0)
(x156, 0, 0, 0)
(x157, 0, 0, 0)
(x158, 0.92, 1.5643452244759748e-32, 1.3239459592583846e-33)
(x159, 0.9700000000000001, 3.297040755177806e-32, 7.206963785868974e-34)
(x160, 0, 0, 0)
(x161, 0.9800000000000001, 1.5455502431641312e-31, 4.283284905183276e-33)
(x162, 0, 0, 0)
(x163, 0.9600000000000001, 6.567269430696576e-32, 4.61974194028582e-33)
(x164, 0, 0, 0)
(x165, 0.9600000000000001, 4.423450194747372e-32, 4.116855944375894e-33)
(x166, 0.9900000000000001, 1.6423831514782156e-32, 1.3943237539115372e-33)
(x167, 0.9700000000000001, 1.2312733766322253e-32, 6.960046318831855e-34)
(x168, 0.93, 1.945584749104189e-32, 6.895004921576891e-34)
(x169, 0.91, 7.726782509303279e-32, 5.225558680295729e-33)
(x170, 0, 0, 0)
(x171, 0.9800000000000001, 4.410902785140693e-31, 1.4414001498842824e-32)
(x172, 0.9800000000000001, 3.750165500022808e-32, 1.53711294552127e-33)
(x173, 0.9900000000000001, 6.010190851943979e-32, 1.1665199700113625e-33)
(x174, 0.91, 1.297066969091918e-32, 1.2873668956088898e-33)
(x175, 0, 0, 0)
(x176, 0, 0, 0)
(x177, 0, 0, 0)
(x178, 0, 0, 0)
(x179, 0.9800000000000001, 4.876059755603839e-32, 3.2195544696617743e-34)
(x180, 0, 0, 0)
(x181, 0.9500000000000001, 1.2249933642898353e-31, 1.1650898501205087e-32)
(x182, 0, 0, 0)
(x183, 0.9700000000000001, 5.9346526852415e-32, 2.8341178481782988e-33)
(x184, 0.9900000000000001, 1.7331846797912256e-31, 8.76137690074639e-33)
(x185, 0.9400000000000001, 1.2618598409731165e-31, 7.126844281734487e-33)
(x186, 0.9600000000000001, 6.643182949518782e-32, 6.45798375923341e-33)
(x187, 0, 0, 0)
